Location Name,RMI Drum,Color,Qty in pounds,Capacity
"Detroit, MI",RMI DRUM1,Coloring Agent1,100000,"300,000"
"Detroit, MI",RMI DRUM2,Coloring Agent2,100000,"300,000"
"Detroit, MI",RMI DRUM3,Coloring Agent3,100000,"300,000"
"Detroit, MI",RMI DRUM4,Coloring Agent4,100000,"300,000"
"Detroit, MI",RMI DRUM5,Coloring Agent5,100000,"300,000"
"Detroit, MI",RMI DRUM6,Coloring Agent6,100000,"300,000"
"Detroit, MI",RMI DRUM7,Coloring Agent7,100000,"300,000"
"Detroit, MI",RMI DRUM8,Coloring Agent8,100000,"300,000"
"Detroit, MI",RMI DRUM9,Coloring Agent9,100000,"300,000"
"Detroit, MI",RMI DRUM10,Coloring Agent10,100000,"300,000"
"Detroit, MI",RMI DRUM11,Coloring Agent11,100000,"300,000"
"Detroit, MI",RMI DRUM12,Coloring Agent12,100000,"300,000"
"Detroit, MI",RMI DRUM13,Coloring Agent13,100000,"300,000"
"Detroit, MI",RMI DRUM14,Coloring Agent14,100000,"300,000"
"Detroit, MI",RMI DRUM15,Coloring Agent15,100000,"300,000"
"Detroit, MI",RMI DRUM16,Coloring Agent16,100000,"300,000"
"Detroit, MI",RMI DRUM17,Coloring Agent17,100000,"300,000"
"Detroit, MI",RMI DRUM18,Coloring Agent18,100000,"300,000"
"Detroit, MI",RMI DRUM19,Coloring Agent19,100000,"300,000"
"Detroit, MI",RMI DRUM20,Coloring Agent20,100000,"300,000"
"Detroit, MI",RMI DRUM21,Coloring Agent21,100000,"300,000"
"Detroit, MI",RMI DRUM22,Coloring Agent22,100000,"300,000"
"Detroit, MI",RMI DRUM23,Coloring Agent23,100000,"300,000"
"Detroit, MI",RMI DRUM24,Coloring Agent24,100000,"300,000"
"Detroit, MI",RMI DRUM25,Coloring Agent25,100000,"300,000"
"Detroit, MI",RMI DRUM26,Coloring Agent26,100000,"300,000"
"Detroit, MI",RMI DRUM27,Coloring Agent27,100000,"300,000"
"Detroit, MI",RMI DRUM28,Coloring Agent28,100000,"300,000"
"Detroit, MI",RMI DRUM29,Coloring Agent29,100000,"300,000"
"Detroit, MI",RMI DRUM30,Coloring Agent30,100000,"300,000"
"Detroit, MI",RMI DRUM31,Coloring Agent31,100000,"300,000"
"Detroit, MI",RMI DRUM32,Coloring Agent32,100000,"300,000"
"Detroit, MI",RMI DRUM33,Coloring Agent33,100000,"300,000"
"Detroit, MI",RMI DRUM34,Coloring Agent34,100000,"300,000"
"Detroit, MI",RMI DRUM35,Coloring Agent35,100000,"300,000"
"Detroit, MI",RMI DRUM36,Coloring Agent36,100000,"300,000"
"Detroit, MI",RMI DRUM37,Coloring Agent37,100000,"300,000"
"Detroit, MI",RMI DRUM38,Coloring Agent38,100000,"300,000"
"Detroit, MI",RMI DRUM39,Coloring Agent39,100000,"300,000"
"Detroit, MI",RMI DRUM40,Coloring Agent40,100000,"300,000"
"Columbus, OH",RMI DRUM1,Coloring Agent1,100000,"300,000"
"Columbus, OH",RMI DRUM2,Coloring Agent2,100000,"300,000"
"Columbus, OH",RMI DRUM3,Coloring Agent3,100000,"300,000"
"Columbus, OH",RMI DRUM4,Coloring Agent4,100000,"300,000"
"Columbus, OH",RMI DRUM5,Coloring Agent5,100000,"300,000"
"Columbus, OH",RMI DRUM6,Coloring Agent6,100000,"300,000"
"Columbus, OH",RMI DRUM7,Coloring Agent7,100000,"300,000"
"Columbus, OH",RMI DRUM8,Coloring Agent8,100000,"300,000"
"Columbus, OH",RMI DRUM9,Coloring Agent9,100000,"300,000"
"Columbus, OH",RMI DRUM10,Coloring Agent10,100000,"300,000"
"Columbus, OH",RMI DRUM11,Coloring Agent11,100000,"300,000"
"Columbus, OH",RMI DRUM12,Coloring Agent12,100000,"300,000"
"Columbus, OH",RMI DRUM13,Coloring Agent13,100000,"300,000"
"Columbus, OH",RMI DRUM14,Coloring Agent14,100000,"300,000"
"Columbus, OH",RMI DRUM15,Coloring Agent15,100000,"300,000"
"Columbus, OH",RMI DRUM16,Coloring Agent16,100000,"300,000"
"Columbus, OH",RMI DRUM17,Coloring Agent17,100000,"300,000"
"Columbus, OH",RMI DRUM18,Coloring Agent18,100000,"300,000"
"Columbus, OH",RMI DRUM19,Coloring Agent19,100000,"300,000"
"Columbus, OH",RMI DRUM20,Coloring Agent20,100000,"300,000"
"Columbus, OH",RMI DRUM21,Coloring Agent21,100000,"300,000"
"Columbus, OH",RMI DRUM22,Coloring Agent22,100000,"300,000"
"Columbus, OH",RMI DRUM23,Coloring Agent23,100000,"300,000"
"Columbus, OH",RMI DRUM24,Coloring Agent24,100000,"300,000"
"Columbus, OH",RMI DRUM25,Coloring Agent25,100000,"300,000"
"Columbus, OH",RMI DRUM26,Coloring Agent26,100000,"300,000"
"Columbus, OH",RMI DRUM27,Coloring Agent27,100000,"300,000"
"Columbus, OH",RMI DRUM28,Coloring Agent28,100000,"300,000"
"Columbus, OH",RMI DRUM29,Coloring Agent29,100000,"300,000"
"Columbus, OH",RMI DRUM30,Coloring Agent30,100000,"300,000"
"Columbus, OH",RMI DRUM31,Coloring Agent31,100000,"300,000"
"Columbus, OH",RMI DRUM32,Coloring Agent32,100000,"300,000"
"Columbus, OH",RMI DRUM33,Coloring Agent33,100000,"300,000"
"Columbus, OH",RMI DRUM34,Coloring Agent34,100000,"300,000"
"Columbus, OH",RMI DRUM35,Coloring Agent35,100000,"300,000"
"Columbus, OH",RMI DRUM36,Coloring Agent36,100000,"300,000"
"Columbus, OH",RMI DRUM37,Coloring Agent37,100000,"300,000"
"Columbus, OH",RMI DRUM38,Coloring Agent38,100000,"300,000"
"Columbus, OH",RMI DRUM39,Coloring Agent39,100000,"300,000"
"Columbus, OH",RMI DRUM40,Coloring Agent40,100000,"300,000"
"Springfield, MO",RMI DRUM1,Coloring Agent1,100000,"300,000"
"Springfield, MO",RMI DRUM2,Coloring Agent2,100000,"300,000"
"Springfield, MO",RMI DRUM3,Coloring Agent3,100000,"300,000"
"Springfield, MO",RMI DRUM4,Coloring Agent4,100000,"300,000"
"Springfield, MO",RMI DRUM5,Coloring Agent5,100000,"300,000"
"Springfield, MO",RMI DRUM6,Coloring Agent6,100000,"300,000"
"Springfield, MO",RMI DRUM7,Coloring Agent7,100000,"300,000"
"Springfield, MO",RMI DRUM8,Coloring Agent8,100000,"300,000"
"Springfield, MO",RMI DRUM9,Coloring Agent9,100000,"300,000"
"Springfield, MO",RMI DRUM10,Coloring Agent10,100000,"300,000"
"Springfield, MO",RMI DRUM11,Coloring Agent11,100000,"300,000"
"Springfield, MO",RMI DRUM12,Coloring Agent12,100000,"300,000"
"Springfield, MO",RMI DRUM13,Coloring Agent13,100000,"300,000"
"Springfield, MO",RMI DRUM14,Coloring Agent14,100000,"300,000"
"Springfield, MO",RMI DRUM15,Coloring Agent15,100000,"300,000"
"Springfield, MO",RMI DRUM16,Coloring Agent16,100000,"300,000"
"Springfield, MO",RMI DRUM17,Coloring Agent17,100000,"300,000"
"Springfield, MO",RMI DRUM18,Coloring Agent18,100000,"300,000"
"Springfield, MO",RMI DRUM19,Coloring Agent19,100000,"300,000"
"Springfield, MO",RMI DRUM20,Coloring Agent20,100000,"300,000"
"Springfield, MO",RMI DRUM21,Coloring Agent21,100000,"300,000"
"Springfield, MO",RMI DRUM22,Coloring Agent22,100000,"300,000"
"Springfield, MO",RMI DRUM23,Coloring Agent23,100000,"300,000"
"Springfield, MO",RMI DRUM24,Coloring Agent24,100000,"300,000"
"Springfield, MO",RMI DRUM25,Coloring Agent25,100000,"300,000"
"Springfield, MO",RMI DRUM26,Coloring Agent26,100000,"300,000"
"Springfield, MO",RMI DRUM27,Coloring Agent27,100000,"300,000"
"Springfield, MO",RMI DRUM28,Coloring Agent28,100000,"300,000"
"Springfield, MO",RMI DRUM29,Coloring Agent29,100000,"300,000"
"Springfield, MO",RMI DRUM30,Coloring Agent30,100000,"300,000"
"Springfield, MO",RMI DRUM31,Coloring Agent31,100000,"300,000"
"Springfield, MO",RMI DRUM32,Coloring Agent32,100000,"300,000"
"Springfield, MO",RMI DRUM33,Coloring Agent33,100000,"300,000"
"Springfield, MO",RMI DRUM34,Coloring Agent34,100000,"300,000"
"Springfield, MO",RMI DRUM35,Coloring Agent35,100000,"300,000"
"Springfield, MO",RMI DRUM36,Coloring Agent36,100000,"300,000"
"Springfield, MO",RMI DRUM37,Coloring Agent37,100000,"300,000"
"Springfield, MO",RMI DRUM38,Coloring Agent38,100000,"300,000"
"Springfield, MO",RMI DRUM39,Coloring Agent39,100000,"300,000"
"Springfield, MO",RMI DRUM40,Coloring Agent40,100000,"300,000"
"Green Bay, WI",RMI DRUM1,Coloring Agent1,100000,"300,000"
"Green Bay, WI",RMI DRUM2,Coloring Agent2,100000,"300,000"
"Green Bay, WI",RMI DRUM3,Coloring Agent3,100000,"300,000"
"Green Bay, WI",RMI DRUM4,Coloring Agent4,100000,"300,000"
"Green Bay, WI",RMI DRUM5,Coloring Agent5,100000,"300,000"
"Green Bay, WI",RMI DRUM6,Coloring Agent6,100000,"300,000"
"Green Bay, WI",RMI DRUM7,Coloring Agent7,100000,"300,000"
"Green Bay, WI",RMI DRUM8,Coloring Agent8,100000,"300,000"
"Green Bay, WI",RMI DRUM9,Coloring Agent9,100000,"300,000"
"Green Bay, WI",RMI DRUM10,Coloring Agent10,100000,"300,000"
"Green Bay, WI",RMI DRUM11,Coloring Agent11,100000,"300,000"
"Green Bay, WI",RMI DRUM12,Coloring Agent12,100000,"300,000"
"Green Bay, WI",RMI DRUM13,Coloring Agent13,100000,"300,000"
"Green Bay, WI",RMI DRUM14,Coloring Agent14,100000,"300,000"
"Green Bay, WI",RMI DRUM15,Coloring Agent15,100000,"300,000"
"Green Bay, WI",RMI DRUM16,Coloring Agent16,100000,"300,000"
"Green Bay, WI",RMI DRUM17,Coloring Agent17,100000,"300,000"
"Green Bay, WI",RMI DRUM18,Coloring Agent18,100000,"300,000"
"Green Bay, WI",RMI DRUM19,Coloring Agent19,100000,"300,000"
"Green Bay, WI",RMI DRUM20,Coloring Agent20,100000,"300,000"
"Green Bay, WI",RMI DRUM21,Coloring Agent21,100000,"300,000"
"Green Bay, WI",RMI DRUM22,Coloring Agent22,100000,"300,000"
"Green Bay, WI",RMI DRUM23,Coloring Agent23,100000,"300,000"
"Green Bay, WI",RMI DRUM24,Coloring Agent24,100000,"300,000"
"Green Bay, WI",RMI DRUM25,Coloring Agent25,100000,"300,000"
"Green Bay, WI",RMI DRUM26,Coloring Agent26,100000,"300,000"
"Green Bay, WI",RMI DRUM27,Coloring Agent27,100000,"300,000"
