Customer Order Number,Color,Size,Flavor,Package Type,Qty (pack unit)
A0054309,Color Agent9,S5,F7,Bag,7668
A0125932,Color Agent5,S4,F8,Box,884
A0156460,Color Agent12,S3,F9,Bag,9884
A0190278,Color Agent5,S4,F2,Box,666
A0194451,Color Agent33,S3,F7,Bag,6732
A0224218,Color Agent33,S4,F12,Bag,18312
A0250944,Color Agent8,S3,F11,Bag,10632
A0288855,Color Agent35,S3,F12,Box,378
A0294601,Color Agent18,S1,F6,Bag,11032
A0300778,Color Agent14,S1,F11,Bag,14712
A0303536,Color Agent16,S5,F11,Bag,8296
A0317431,Color Agent22,S3,F2,Bag,12580
A0324638,Color Agent33,S3,F4,Bag,6684
A0342756,Color Agent29,S5,F2,Bag,4320
A0347997,Color Agent9,S2,F10,Bag,9908
A0382681,Color Agent38,S5,F9,Bag,4868
A0388118,Color Agent37,S5,F5,Bag,4968
A0403086,Color Agent34,S2,F6,Bag,6196
A0426733,Color Agent6,S4,F3,Bag,13504
A0427114,Color Agent31,S4,F8,Box,903
A0449454,Color Agent28,S5,F9,Bag,17452
A0457952,Color Agent2,S3,F2,Bag,7556
A0463877,Color Agent22,S1,F8,Bag,5232
A0487800,Color Agent16,S2,F6,Bag,11036
A0514166,Color Agent5,S5,F10,Bag,7240
A0519816,Color Agent21,S5,F5,Bag,6984
A0524388,Color Agent28,S1,F9,Box,994
A0548423,Color Agent7,S2,F1,Box,680
A0551685,Color Agent36,S1,F6,Bag,3684
A0583512,Color Agent38,S5,F10,Box,557
A0592559,Color Agent15,S3,F9,Bag,9660
A0617218,Color Agent15,S3,F9,Bag,4768
A0627804,Color Agent31,S3,F11,Bag,9856
A0645065,Color Agent20,S1,F8,Bag,14000
A0655761,Color Agent26,S3,F2,Bag,6500
A0688913,Color Agent36,S2,F10,Bag,11380
A0703838,Color Agent25,S3,F11,Box,568
A0717316,Color Agent3,S4,F1,Box,653
A0725946,Color Agent17,S3,F9,Box,645
A0728503,Color Agent38,S5,F8,Bag,18040
A0772421,Color Agent20,S3,F10,Bag,6640
A0777452,Color Agent4,S2,F11,Box,1050
A0792658,Color Agent2,S5,F4,Bag,6492
A0798855,Color Agent1,S2,F5,Bag,9024
A0834650,Color Agent4,S1,F4,Bag,6528
A0836720,Color Agent29,S4,F5,Box,444
A0850099,Color Agent23,S3,F6,Bag,10236
A0860292,Color Agent36,S3,F4,Bag,6104
A0914906,Color Agent25,S1,F11,Box,593
A0926336,Color Agent12,S3,F4,Box,494
A0955092,Color Agent30,S2,F9,Bag,11916
A0987690,Color Agent30,S4,F10,Box,1052
A0987824,Color Agent1,S2,F8,Bag,9760
A1024426,Color Agent11,S1,F8,Bag,6060
A1039476,Color Agent12,S5,F3,Bag,7136
A1046458,Color Agent28,S4,F8,Box,390
A1115394,Color Agent15,S3,F9,Bag,8560
A1125739,Color Agent29,S3,F8,Box,1084
A1127891,Color Agent39,S5,F8,Bag,6992
A1143860,Color Agent19,S3,F5,Bag,9948
A1170708,Color Agent39,S3,F11,Bag,4324
A1190333,Color Agent18,S1,F2,Box,1129
A1234960,Color Agent27,S5,F12,Bag,3448
A1240325,Color Agent35,S3,F2,Bag,6712
A1243914,Color Agent31,S2,F2,Bag,6484
A1248698,Color Agent21,S1,F5,Bag,9620
A1249657,Color Agent3,S4,F9,Bag,7612
A1290553,Color Agent32,S2,F4,Bag,11804
A1296264,Color Agent18,S4,F2,Bag,10440
