Site,Size,Packaging_Type,Processing_Rate
Detroit,S1,Box,3263
Detroit,S1,Box,3449
Detroit,S1,Box,3349
Detroit,S1,Box,3495
Detroit,S1,Box,3426
Detroit,S1,Box,3544
Detroit,S1,Box,3524
Detroit,S1,Box,3384
Detroit,S1,Box,3454
Detroit,S1,Box,3562
Detroit,S1,Box,3434
Detroit,S1,Box,3369
Detroit,S1,Box,3280
Detroit,S1,Box,3365
Detroit,S1,Box,3482
Detroit,S1,Box,3379
Detroit,S1,Box,3371
Detroit,S1,Box,3403
Detroit,S1,Box,3396
Detroit,S1,Box,3531
Detroit,S1,Box,3261
Detroit,S1,Box,3443
Detroit,S1,Box,3605
Detroit,S1,Box,3518
Detroit,S1,Box,3470
Detroit,S1,Box,3361
Detroit,S1,Box,3345
Detroit,S1,Box,3443
Detroit,S1,Box,3433
Detroit,S1,Box,3237
Detroit,S1,Box,3397
Detroit,S1,Box,3300
Detroit,S1,Box,3405
Detroit,S1,Box,3300
Detroit,S1,Box,3422
Detroit,S1,Box,3392
Detroit,S1,Box,3398
Detroit,S1,Box,3432
Detroit,S1,Box,3286
Detroit,S1,Box,3438
Detroit,S1,Box,3586
Detroit,S1,Box,3477
Detroit,S1,Box,3516
Detroit,S1,Box,3446
Detroit,S1,Box,3555
Detroit,S1,Box,3604
Detroit,S1,Box,3369
Detroit,S1,Box,3359
Detroit,S1,Box,3460
Detroit,S1,Box,3262
Detroit,S1,Box,3420
Detroit,S1,Box,3522
Detroit,S1,Box,3296
Detroit,S1,Box,3625
Detroit,S1,Box,3316
Detroit,S1,Box,3437
Detroit,S1,Box,3364
Detroit,S1,Box,3359
Detroit,S1,Box,3299
Detroit,S1,Box,3593
Detroit,S1,Box,3452
Detroit,S1,Box,3227
Detroit,S1,Box,3229
Detroit,S1,Box,3329
Detroit,S1,Box,3278
Detroit,S1,Box,3465
Detroit,S1,Box,3363
Detroit,S1,Box,3389
Detroit,S1,Box,3451
Detroit,S1,Box,3524
Detroit,S1,Box,3547
Detroit,S1,Box,3335
Detroit,S1,Box,3325
Detroit,S1,Box,3440
Detroit,S1,Box,3448
Detroit,S1,Box,3490
Detroit,S1,Box,3284
Detroit,S1,Box,3412
Detroit,S1,Box,3361
Detroit,S1,Box,3469
Detroit,S1,Box,3488
